chapter,title,text
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,STANDARD PRACTICES AND STRUCTURES - GENERAL,STANDARD PRACTICES AND STRUCTURES - GENERAL
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,STANDARD PRACTICES AND STRUCTURES - GENERAL,"1.
General
A.
Chapter 51 describes general repair practices, materials and procedures which are applicable
throughout the subsequent chapters. This chapter also provides general information for performing
any structural repairs.
B.
Unless otherwise specied, all dimensions are in inches; forces are in pounds and torques are in
inch-pounds.
C.
The airplanes are of an all metal, semimonocoque construction, with the skin carrying a portion of all
structural loads.
D.
To obtain information covering dimensions, areas and stations diagrams, refer to current appropriate
Model 172, Model 182 or Model 206 Maintenance Manual, Chapter 6, Dimensions and Areas.
E.
For information covering leveling and weighing, refer to current appropriate Model 172, Model 182 or
Model 206 Maintenance Manual, Chapter 8, Leveling and Weighing."
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,STANDARD PRACTICES AND STRUCTURES - GENERAL,"2.
Description
A.
The fuselage is of conventional semimonocoque construction.
Construction consists of formed
bulkheads, longitudinal stringers, reinforcing channels, and skin panels.
B.
The wings are of an all metal, strut-braced, semimonocoque construction, utilizing two spars. Each
wing consists of a wing panel with an integral fuel bay, an aileron and a ap.
C.
The empennage group is of a fully cantilevered design and consists of a conventional rudder and
elevator conguration. The horizontal stabilizer is of one-piece construction, consisting of spars, ribs,
and skins. Elevators are constructed of spars, ribs, and skin panels. The skin panels are riveted to
the ribs and spars. A balance weight is located in the outboard end of each elevator, forward of the
hinge line. An elevator trim tab is attached to the right hand elevator and is constructed of a spar,
ribs, and skin, riveted together. The vertical stabilizer is constructed of a forward and aft spar, ribs,
and skin. The rudder is constructed of spars, ribs, and skin panels.
D.
The main landing gear consists of 6150M alloy spring-steel, cantilevered with attaching parts of high-
strength 7075-T73 aluminum alloy forgings. Nose gear components are 4130 alloy steel and 7075-
T73 aluminum alloy forgings.
E.
The engine mount is constructed of welded 4130 steel tubing on the 172 and 182. The 206 has a
built-up aluminum sheet metal engine mount.
F.
The removable engine cowling is made of 2024 Alclad secured with quarter turn fasteners.
"
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,DAMAGE INVESTIGATION AND CLASSIFICATION,
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,DAMAGE INVESTIGATION AND CLASSIFICATION,"1.
General
A.
For the purposes of this manual, damage is considered to be a deviation from the original
conguration of a structural part that compromises its structural integrity by signicantly reducing its
strength, signicantly decreasing its resistance to fatigue, signicantly increasing its susceptibility to
corrosion, signicantly altering its utter characteristics, or adversely affecting the ight characteristics
of the airplane. This can include - but is not limited to - scratches, dents, dings, gouges, cracks,
drill starts, double drilled holes, plastic deformation, reduction in cross-sectional areas, changes in
component center-of-gravity, missing or inadequate fasteners, corrosion, dissimilar metal contact,
work hardening, temper change due to excessive heat, and so forth.
B.
Use good judgment in determining the type of signicant change to at stock structural material. The
terms, dent, crease, abrasion, gouge, nick, scratch, crack and corrosion, referred to elsewhere in the
manual, are dened below as a guide for this determination, particularly with respect to the external
skin of the airplane:
(1)
Dent - A dent is normally a damaged area which is depressed with respect to its normal contour.
There is no cross sectional area change in the material. Area boundaries are smooth. Its form
is generally the result of contact with a relatively smoothly contoured object.
NOTE:
A dent-like form of damage to skin may be the result of the peening action of a
smoothly contoured object contacting it. If the inner surface of skin shows no contour
change, consider that such damage results in a local cross sectional area change.
(2)
Crease - A damaged area which is depressed or folded back upon itself in such a manner that its
boundaries are sharp or well dened lines or ridges. Consider it to be the equivalent of a crack.
(3)
Abrasion - An abrasion is a damaged area of any size which results in a cross sectional area
change due to scufng, rubbing, scraping or other surface erosion.
It is usually rough and
irregular.
(4)
Gouge - A gouge is a damaged area of any size, which results in a cross sectional area change.
It is usually caused by contact with a relatively sharp object which produces a continuous, sharp
or smooth channel-like groove in the material.
(5)
Nick - A nick is a local gouge with sharp edges. Consider a series of nicks, in a line pattern to
be the equivalent of a gouge.
(6)
Scratch - A scratch is a line of damage of any depth in the material and results in a cross sectional
area change. It is usually caused by contact with a very sharp object.
(7)
Crack - A crack is a partial fracture or complete break in the material with the most signicant
cross sectional area change. In appearance, it is usually an irregular line and is normally the
result of fatigue failure.
(8)
Corrosion - Corrosion, due to a complex electrochemical action, is a damaged area of any size
and depth which results in a cross sectional area change. Depth of such pitting damage must
be determined by a cleanup operation. Damage of this type may occur on surfaces of structural
elements. Refer to Corrosion and Corrosion Control, Section .
C.
Use good sense and proper visual measurement in the determination of signicant cross sectional
area changes of both depth and length of any type (or combinations) of damage mentioned above."
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,DAMAGE INVESTIGATION AND CLASSIFICATION,"2.
Damage Investigation
A.
After a thorough cleaning of the damaged area, all structural parts should be carefully examined
to determine the extent of damage. Frequently, the force causing the initial damage is transmitted
from one member to the next, causing strains and distortions. Abnormal stresses incurred by shock
or impact forces on a rib, bulkhead, or similar structure, may be transmitted to the extremity of the
structural member, resulting in secondary damage, such as sheared or stretched rivets, elongated bolt
holes, or canned skins or bulkheads. Points of attachment should be examined carefully for distortion
and security of fastenings in the primary and secondary damaged areas at locations beyond the local
damage. This is particularly true with wing tip, horizontal stabilizer tip, or vertical n tip damage. If
the damage is due to an aft load, the rear spars should be checked for indications of compression
damage for the full length, including the fuselage components."
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,DAMAGE INVESTIGATION AND CLASSIFICATION,"3.
Damage Classication
A.
Damage to the airplane can be divided into three major categories: negligible damage, repairable
damage, and major replacement damage. These categories are intended to provide the mechanic
with some general guidelines to use in determining the extent and criticalness of any damage.
Obviously, there will be some overlapping between categories, and common sense should be used
in determining the nal action to be taken with regard to any damage.
(1)
For damage criteria of specic structure (wings, fuselage, and so forth), refer to applicable
chapters within this repair manual."
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,DAMAGE INVESTIGATION AND CLASSIFICATION,"4.
Renishing Damaged Areas Following Repairs
A.
Areas of structure which are damaged and then repaired in the eld, must be renished to restore the
original paint and corrosion protectant properties to factory standards. Refer to applicable airplane
Maintenance Manual, Chapter 20, Exterior Finish - Cleaning/Painting, for renishing procedures and
required materials.
"
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,CORROSION AND CORROSION CONTROL - GENERAL,CORROSION AND CORROSION CONTROL - GENERAL
CHAPTER 51 - STANDARD PRACTICES AND STRUCTURES - GENERAL,CORROSION AND CORROSION CONTROL - GENERAL,"1.
General
A.
Corrosion is a natural phenomenon which destroys metal by chemical or electrochemical action and
converts it to a metallic compound such as an oxide, hydroxide, or sulfate. All metals used in airplane
construction are subject to corrosion. If exposed, attack may take place over an entire metal surface.
It may penetrate a surface at random forming deep pits or may follow grain boundaries. Corrosion may
be accentuated by stresses from external loads or from lack of homogeneity in the metallic structure
or from improper heat treatment. It is promoted by contact between dissimilar metals or with materials
which absorb moisture such as wool, rubber, felt, dirt, and so forth.
NOTE:
For additional information on corrosion control for aircraft, refer to the FAA Advisory Circular
No. 43-4.
(1)
Refer to Figure 1 for a simplied illustration of the conditions which must exist for electrochemical
corrosion to occur.
(a)
There must be a metal that corrodes and acts as the anode.
(b)
There must be a less corrodible metal that acts as the cathode
(c)
There must be a continuous liquid path between the two metals which acts as the
electrolyte, usually condensation and salt or other contamination.
(d)
There must be a conductor to carry the ow of electrons from the cathode to the anode.
This conductor is usually in the form of a metal-to-metal contact (rivets, bolts, welds, etc.)
(2)
The elimination of any one of the four conditions described above will stop the corrosion reaction
process as shown in Figure 1.
(3)
One of the best ways to eliminate one of the four described conditions is to apply an organic lm
(such as paint, grease, plastic, etc.) to the surface of the metal affected. This will prevent the
electrolyte from connecting the cathode to the anode, and since current cannot ow, it prevents
corrosive reaction.
(4)
At normal atmospheric temperatures, metals do not corrode appreciably without moisture, but
the moisture in the air is usually enough to start corrosive action.
(5)
When components and systems constructed of many different types of metals must perform
under various climatic conditions, corrosion becomes a complex problem. The presence of salts
on metal surfaces (from sea coast operation) greatly increases the electrical conductivity of any
moisture present and accelerates corrosion.
(6)
Other environmental conditions which contribute to corrosion are:
(a)
Moisture collecting on dirt particles.
(b)
Moisture collecting in crevices between lap joints, around rivets, bolt, and screws."
